2,maximum,f1,english,0.6666666666666666
2,maximum,accuracy,english,0.9166666666666666
2,maximum,precision,finnish,1.0
2,maximum,recall,finnish,0.7
2,maximum,f1,finnish,0.8235294117647058
2,maximum,accuracy,finnish,0.95
2,maximum,precision,german,1.0
2,maximum,recall,german,0.4
2,maximum,f1,german,0.5714285714285715
2,maximum,accuracy,german,0.9
2,maximum,precision,italian,0.45
2,maximum,recall,italian,0.9
2,maximum,f1,italian,0.6
2,maximum,accuracy,italian,0.8
2,maximum,precision,polish,0.8333333333333334
2,maximum,recall,polish,1.0
2,maximum,f1,polish,0.9090909090909091
2,maximum,accuracy,polish,0.9666666666666667
2,maximum,precision,spanish,0.5833333333333334
2,maximum,recall,spanish,0.7
2,maximum,f1,spanish,0.6363636363636365
2,maximum,accuracy,spanish,0.8666666666666667
2,cosine,precision,english,1.0
2,cosine,recall,english,0.9
2,cosine,f1,english,0.9473684210526316
2,cosine,accuracy,english,0.9833333333333333
2,cosine,precision,finnish,1.0
2,cosine,recall,finnish,1.0
2,cosine,f1,finnish,1.0
2,cosine,accuracy,finnish,1.0
2,cosine,precision,german,1.0
2,cosine,recall,german,1.0
2,cosine,f1,german,1.0
2,cosine,accuracy,german,1.0
2,cosine,precision,italian,0.8333333333333334
2,cosine,recall,italian,1.0
2,cosine,f1,italian,0.9090909090909091
2,cosine,accuracy,italian,0.9666666666666667
2,cosine,precision,polish,1.0
2,cosine,recall,polish,1.0
2,cosine,f1,polish,1.0
2,cosine,accuracy,polish,1.0
2,cosine,precision,spanish,1.0
2,cosine,recall,spanish,0.9
2,cosine,f1,spanish,0.9473684210526316
2,cosine,accuracy,spanish,0.9833333333333333
3,euclidean,precision,english,1.0
3,euclidean,recall,english,1.0
3,euclidean,f1,english,1.0
3,euclidean,accuracy,english,1.0
3,euclidean,precision,finnish,1.0
3,euclidean,recall,finnish,1.0
3,euclidean,f1,finnish,1.0
3,euclidean,accuracy,finnish,1.0
3,euclidean,precision,german,1.0
3,euclidean,recall,german,1.0
3,euclidean,f1,german,1.0
3,euclidean,accuracy,german,1.0
3,euclidean,precision,italian,1.0
3,euclidean,recall,italian,1.0
3,euclidean,f1,italian,1.0
3,euclidean,accuracy,italian,1.0
3,euclidean,precision,polish,1.0
3,euclidean,recall,polish,1.0
3,euclidean,f1,polish,1.0
3,euclidean,accuracy,polish,1.0
3,euclidean,precision,spanish,1.0
3,euclidean,recall,spanish,1.0
3,euclidean,f1,spanish,1.0
3,euclidean,accuracy,spanish,1.0
3,manhattan,precision,english,0.3225806451612903
3,manhattan,recall,english,1.0
3,manhattan,f1,english,0.4878048780487805
3,manhattan,accuracy,english,0.65
3,manhattan,precision,finnish,1.0
3,manhattan,recall,finnish,0.2
3,manhattan,f1,finnish,0.33333333333333337
3,manhattan,accuracy,finnish,0.8666666666666667
3,manhattan,precision,german,0.5
3,manhattan,recall,german,1.0
3,manhattan,f1,german,0.6666666666666666
3,manhattan,accuracy,german,0.8333333333333334
3,manhattan,precision,italian,NaN
3,manhattan,recall,italian,0.0
3,manhattan,f1,italian,NaN
3,manhattan,accuracy,italian,0.8333333333333334
3,manhattan,precision,polish,1.0
3,manhattan,recall,polish,0.5
3,manhattan,f1,polish,0.6666666666666666
3,manhattan,accuracy,polish,0.9166666666666666
3,manhattan,precision,spanish,1.0
3,manhattan,recall,spanish,0.2
3,manhattan,f1,spanish,0.33333333333333337
3,manhattan,accuracy,spanish,0.8666666666666667
3,maximum,precision,english,1.0
3,maximum,recall,english,0.5
3,maximum,f1,english,0.6666666666666666
3,maximum,accuracy,english,0.9166666666666666
3,maximum,precision,finnish,0.47368421052631576
3,maximum,recall,finnish,0.9
3,maximum,f1,finnish,0.6206896551724138
3,maximum,accuracy,finnish,0.8166666666666667
3,maximum,precision,german,0.875
3,maximum,recall,german,0.7
3,maximum,f1,german,0.7777777777777777
3,maximum,accuracy,german,0.9333333333333333
3,maximum,precision,italian,0.5714285714285714
3,maximum,recall,italian,0.8
3,maximum,f1,italian,0.6666666666666666
3,maximum,accuracy,italian,0.8666666666666667
